机器视觉高级工程师,苏州,某大型知名智能硬件上市公司,10000人以上,15-25K,经验不限,本科,"['C/C++', 'OpenCV', '图像识别经验', 'halcon', 'visionpro']"
AI算法部署工程师,苏州,海驰建设,20-99人,11-20K,1-3年,本科,"['研究导向', 'C/C++', '计算机相关专业']"
AI 算法高级工程师,苏州,某知名汽车零部件公司,1000-9999人,30-60K·15薪,3-5年,本科,"['C/C++', 'Python']"
ai机器学习专家,苏州,创昱达信息,500-999人,15-30K,5-10年,本科,"['Java', 'Python', 'TensorFlow/PyTorch', '计算机相关专业', '数学/统计相关专业', '机器学习算法/工程化经验']"
cto首席技术官,苏州,某大型咨询公司,100-499人,50-70K·14薪,10年以上,博士,['微服务架构']
ai工程师,苏州,华为技术有限公司,10000人以上,18-35K,经验不限,本科,"['音频', '视频', '流媒体', 'C/C++', 'Java', 'Python']"
ai产品经理,苏州,蒋莱科技,100-499人,13-17K,3-5年,本科,"['AI机器人', '视觉类AI', 'B端产品', 'C端产品', '人脸识别', '数字城市', '人工智能']"
机器视觉工程师,苏州,荣旗工业科技,500-999人,12-20K·13薪,3-5年,大专,"['图像识别经验', 'C# 机器视觉', '检测设备 算法', '人工智能']"
python工程师,苏州,上海亿栈信息科技,20-99人,15-25K,3-5年,本科,"['Python', 'Flask', 'Django', 'MySQL', '量化交易开发经验']"
联合创始人,苏州,有圈信息,20-99人,20-21K,1-3年,本科,"['人工智能', '创业型', '1-20人', '自带团队']"
ai算法工程师,苏州,笑纳科技,20-99人,11-20K,1-3年,硕士,"['OpenCV', 'CNN/RNN/LSTM', 'TensorFlow/PyTorch', '深度学习经验', '机器学习算法/工程化经验', '生物医疗', '语音/图像识别', '图像分割', '目标检测']"
ai图像算法工程师,苏州,模形时代科技,0-20人,20-40K,3-5年,本科,"['Java', 'Python', 'C/C++', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']"
AI深度学习算法工程师,苏州,岳一科技,20-99人,25-50K,3-5年,大专,"['深度学习算法', '视觉图像算法', '算法设计', 'Python', '人工智能']"
智能软件研发总监,苏州,某500强上市公司,1000-9999人,100-150K·14薪,10年以上,硕士,['架构师']
AI边缘计算业务项目经理,苏州,苏州天准科技,1000-9999人,15-30K,1-3年,本科,"['企业内部技术项目管理', '计算机相关专业', '软件研发经验', '团队管理经验', 'PMP']"
包装设计完稿专员/AI/五险一金带薪年假,苏州,德莱美,20-99人,6-10K·16薪,3-5年,本科,"['包装设计', 'AI完稿', '美妆']"
AI药物高级研究员,苏州,倍而达,20-99人,12-21K·13薪,1-3年,硕士,"['深度学习算法', 'CNN', 'DNN', 'TensorFlow', 'Python']"
人工智能工程师,苏州,苏州金瑞阳,100-499人,18-30K·13薪,1-3年,本科,"['Python', 'c++', 'c', '人工智能', '算法', '图像', '图像识别', '图像分析']"
门店运营管培生-SPA高潜顾问,苏州,iSpa泰美好,100-499人,10-15K,经验不限,本科,"['老板亲带', '月入过万', '朝阳产业']"
项目助理实习生【年薪5W-8W】,苏州,科升无线,20-99人,4-5K,经验不限,本科,"['软件/信息技术项目', '计算机相关专业']"
ai算法专家,苏州,美尔装饰,20-99人,5-10K,1-3年,大专,"['业务导向', '搜索/推荐', '智能营销/广告', '云计算', '深度学习经验', 'chatGPT']"
急招销售AI直播软件saas每单提3.5k/年薪20w,苏州,水滴石穿,20-99人,10-15K,经验不限,大专,"['企业（To B）', '对企业/机构（To B）销售经验', '网络营销经验', '互联网/科技', '软件/企业服务产品']"
预训练模型NLP专家,苏州,某知名互联网公司,1000-9999人,50-55K·15薪,5-10年,硕士,"['Python', '自然语言处理项目经验', 'Chat GDP', '大模型', 'prompt']"
ai软件测试工程师,苏州,江苏欧普泰智能科技,100-499人,8-13K,3-5年,本科,"['C++', '性能测试', '功能测试', '计算机相关专业', 'Python']"
数据工程师（Data Steward）,苏州,某大型汽车零部件公司,100-499人,20-25K,3-5年,大专,"['Python', 'etl', 'MES']"
人工智能VCU软件开发工程师,苏州,某大型仪器仪表公司,100-499人,25-40K·16薪,3-5年,本科,['L2/L3智能驾驶功能开发经验']
深度学习算法工程师（虎丘）,苏州,某大型电子公司,500-999人,15-25K,经验不限,本科,['图像识别经验']
AI专家,苏州,镁伽科技,500-999人,35-65K,5-10年,硕士,['业务导向']
基因组AI算法科学家,苏州,世华医学科技,0-20人,25-50K·13薪,经验不限,博士,"['研究导向', '生物医疗', 'Python', 'R', 'CNN/RNN/LSTM', '深度学习经验', '有国际期刊/会议论文发表', '英文读写能力良好', '统计，生统或计算专业机器算法方向', '博士', '有基因组经验']"
软件销售（月底发薪+双休+35%提成）,苏州,探迹,1000-9999人,15-30K,经验不限,大专,"['企业（To B）', '面销/陌拜']"
税务顾问,苏州,帕米尔,0-20人,10-15K·13薪,1年以内,大专,"['代理记账公司', '四大', '税务筹划代理公司', '税务筹划', '互联网', '人工智能', '大数据']"
数据科学,苏州,某大型知名互联网公司,10000人以上,25-40K·15薪,3-5年,本科,"['数据分析/挖掘经验', '机器学习建模经验']"
算法工程师（人工智能）,苏州,某仪器仪表公司,20-99人,20-30K,3-5年,硕士,"['MATLAB', 'Python', 'C/C++', '机器学习算法/工程化经验', '深度学习经验', '模型预测控制项目经验', '工艺机台控制系统算法']"
品牌策划经理,苏州,光昱智能,100-499人,15-25K·13薪,3-5年,本科,"['自动驾驶', '人工智能']"
