跨境电商美工,南昌,莫纳迪,20-99人,6-9K,1-3年,大专,"['生活用品', '亚马逊', 'PS', 'AI']"
电话客服,南昌,荧羽科技,20-99人,4-6K,经验不限,大专,"['正常工作制', '办公室坐班', '全职', '咨询热线客服']"
培训师,南昌,昱兴教育科技有限公司,0-20人,5-10K,1-3年,大专,"['培训机构', '线下教育', '外训', '特长兴趣', '人工智能', '大型教育机构经验', '教师资格证', '物理', '化学', '科学教育']"
平面设计/视频剪辑,南昌,江西传世大宅,20-99人,5-10K,1-3年,大专,"['美工', 'PhotoShop', 'Premiere', 'AE']"
美工,南昌,南昌一蓑烟雨网络科技,0-20人,4-7K,1-3年,大专,"['CDR', 'PS', 'AI', '文案编辑', '商品详情页修图', '有创意和美感']"
UI设计师,南昌,东为高新,20-99人,6-7K,1-3年,大专,"['交互设计', '视觉设计', '客户端', '移动端', '网页端', '三维设计', '动效设计', '平面设计', '图标设计', '切图和标注', '界面设计', 'PS', 'U3D']"
广告设计师,南昌,江西均华实业发展...,0-20人,4-7K,3-5年,大专,"['广告', 'PS', 'CAD/制图', 'AutoCAD', '户外广告设计', '广告策划', 'AI', '广告制作', '平面设计', '广告设计', '视觉设计', '设计师', '3D设计', '企业/自有品牌']"
企宣策划,南昌,应科建筑装饰有限公司,100-499人,4-7K,1-3年,学历不限,"['装修', '企宣', '平面设计']"
平面设计,南昌,MENGCI&CO,20-99人,5-8K·13薪,1-3年,本科,"['画册设计', '包装设计', 'VI设计', '企业/自有品牌', 'CDR', 'PS', 'AI', '不接受居家办公']"
美工设计,南昌,提万科技,20-99人,5-8K,1年以内,学历不限,"['生活用品', '家居用品', '美妆日化', 'PS', 'AI', '不接受居家办公']"
资深包装设计师,南昌,南昌哈彼智能科技,100-499人,4-7K,1-3年,大专,"['企业/自有品牌', '电商设计类插画', '擅长手绘']"
印前打印技术员,南昌,云印晶典数码快印,100-499人,3-6K·13薪,1-3年,中专/中技,"['全职', '画册手册', '会议资料', '文字排版设计', 'PS', '设计相关专业', '熟悉印前工艺', '熟悉印刷流程', '图文，广告，打印，装订']"
产品视频拍摄剪辑师,南昌,蓝之润,100-499人,5-8K,1-3年,大专,"['摄影', '摄像']"
工装设计助理,南昌,上海欣童室内设计...,0-20人,3-5K,经验不限,大专,"['CAD', '公共艺术设计', '设计师助理', 'PhotoShop', 'Sketchup', '商业地产', '办公地产', '全职兼职均可']"
平面设计,南昌,江西天驰广告传媒,0-20人,3-4K,1-3年,大专,"['CDR', 'PS', 'AI', '接受居家办公']"
千人学校诚聘平面设计师（包食宿）,南昌,新建区弘艺,500-999人,5-8K,1-3年,本科,"['海报传单设计', '画册设计', '广告设计', 'CDR']"
摄影助理,南昌,江西百耀,20-99人,3-5K,1-3年,大专,['摄影摄像皆有']
美工设计,南昌,馨漫之舍化妆品,100-499人,5-7K,1-3年,学历不限,"['美妆日化', '不接受居家办公']"
广告平面设计师,南昌,海润标识,20-99人,4-6K,1-3年,大专,"['广告设计', '标志设计', '广告/设计公司', 'CDR', 'PS', 'AI']"
设计师助理,南昌,秀特科技,0-20人,3-6K,1-3年,学历不限,"['美工', '平面设计', '广告设计', 'cdr，ai，ps']"
平面设计,南昌,艾叶草健康,100-499人,6-7K,1-3年,大专,"['CorelDRAW', '人工智能']"
市场推广,南昌,丰e足食,1000-9999人,7-12K,1年以内,中专/中技,"['销售岗', '客户开发', '商户合作', '生活服务/O2O', '互联网/科技', '销售工作经验', '地推经验']"
平面设计,南昌,抖加文化,20-99人,4-9K,1-3年,大专,"['PS', 'AI']"
设计师主管/设计师,南昌,江西草珊瑚药业,100-499人,5-8K,3-5年,大专,"['不接受居家办公', '海报传单设计', '包装设计', '企业/自有品牌']"
平面设计,南昌,盛焰,500-999人,5-8K,1-3年,大专,"['广告设计', '海报传单设计', '企业/自有品牌', 'CDR', 'PS', 'AI', '不接受居家办公']"
高级平面设计,南昌,江西卡德森品牌管理,20-99人,5-9K,1-3年,大专,"['包装设计', '广告设计', '海报传单设计', '企业/自有品牌', 'Axure', 'PS', 'CDR', '快消品设计', '软文推送', '视频剪辑']"
设计助理,南昌,江西文演文服,500-999人,3-4K,1-3年,大专,"['包装设计', '广告设计', '海报传单设计', '广告/设计公司']"
广告平面设计师,南昌,九天创想广告,0-20人,4-5K,3-5年,大专,"['广告设计', '标志设计', '企业/自有品牌', 'CDR', 'PS', 'AI']"
设计主管,南昌,绘忆泽雅,0-20人,8-10K,3-5年,大专,['广告/设计公司']
市场主管,南昌,南昌万达影城,10000人以上,5-6K,3-5年,大专,"['文娱/游戏', '快消/零售']"
UI 设计（平面设计）老师,南昌,鄱元科技有限公司,20-99人,5-10K,经验不限,大专,"['全职工作', '线下教学', '院校专业课', '日常教学', '辅导答疑', '毕业设计', '交互设计经验']"
UI设计师,南昌,江西电信信息产业,500-999人,7-11K,3-5年,本科,"['交互设计', '原型设计', '视觉设计', '网页端', '移动端', '图标设计', '界面设计', 'AI', 'Axure', 'PS']"
AI项目外包,石家庄,石家庄好颜眸科技,20-99人,10000-15000元/月,经验不限,学历不限,"['个人客户开发（销售方向）', '商户合作', '用户拉新', '批发/零售', 'O2O/生活服务', '互联网/科技']"
数学解析文本兼职应骋,石家庄,自贡一快教育,20-99人,35-45元/时,经验不限,本科,"['兼职', '线上教育', '不坐班', '普通话发音标准', '有教师资格证']"
ai数据标注师,石家庄,万辰信息,0-20人,3-5K,经验不限,中专/中技,"['数据标注', '视频标注', '数据分析能力强', '标注结果抽查', 'AI', '区域标注', '接受居家办公', '图片标注', '接受加班', '兼职工作', '文本标注', '数据', '全职工作', '人工智能', '标注方法优化', '标框标注', '分类标注']"
ai数据标注,石家庄,蒲团,0-20人,3-6K,经验不限,大专,"['数据标注', '文本标注', '全职工作', '语音标注', '标注结果整理', '标注数据分析', '数据分析能力强', '描点标注', '区域标注', '接受居家办公', '图片标注', '分类标注']"
ai人工智能工程师,石家庄,河北国增网络科技,20-99人,8-13K,经验不限,本科,"['语音/图像识别', 'Java', 'Python', 'Hadoop/Hive/Spark', '计算机相关专业', '数学/统计相关专业']"
产品经理AI大模型/AI视觉 （央企）,石家庄,某大型移动互联网公司,500-999人,20-25K,3-5年,本科,"['B端产品', '视觉类AI', '语音类AI']"
AI人工智能训练师,石家庄,金澜卓越,500-999人,4-5K,经验不限,大专,"['数据标注', '文本标注', '全职工作', '数据分析能力强', '沟通，理解能力强', '分类标注']"
AI视频制作的专业人员,石家庄,华富隆晟,0-20人,4-5K,1-3年,本科,"['MG/3D动画', '宣传片', '短视频', '剪辑', 'AI视频制作']"
人工智能/数据库/图像处理专利工程师,石家庄,挚诚莱皓,100-499人,7-10K,经验不限,本科,"['计算机相关专业', '人工智能', '数据库', '图像处理']"
人工智能助教,石家庄,理工学院,100-499人,4-7K,经验不限,硕士,"['智能驾驶', '云计算', '计算机相关专业', '机器学习算法/工程化经验']"
石家庄ai数字人软件兼职全职推广,石家庄,萨锦信息,100-499人,5-10K,经验不限,学历不限,"['语义类AI', 'AI智能数字人软件推广']"
ai数据标注师（接受无经验）,石家庄,大拿科技,20-99人,5-7K,经验不限,大专,"['计算机相关专业', '全职工作', '图片标注', '语音标注']"
人工智能训练师,石家庄,恒德网络科技,0-20人,3-6K,经验不限,学历不限,"['图像处理', '手势识别', '图像跟踪', '图像分析', '车辆识别', '表情识别', '人脸识别', '虹膜识别']"
ai数字人推广,石家庄,卒付科技,20-99人,8-13K,经验不限,学历不限,"['全职', '兼职', '线上', '线下', '数码电器', '珠宝/手表/首饰', '每周双休', '工资日结']"
人工智能文员,石家庄,河北千面网络,100-499人,4-5K,1年以内,学历不限,"['全职工作', '图片标注', '文本标注', '视频标注', '区域标注', '描点标注', '标框标注']"
AI数字人销售经理,石家庄,佐汇企业管理,20-99人,5-10K·14薪,1-3年,大专,"['互联网/科技', '电子商务', '招商/商户拓展类服务', '会展销售', '面销/陌拜']"
AI培训工程师,石家庄,浙江华为,1000-9999人,15-25K·15薪,1-3年,本科,"['TensorFlow/PyTorch', 'Docker/Kubernetes', '计算机相关专业', '图像识别经验', '数学/统计相关专业', 'Python']"
人工智能项目经理,石家庄,众贤网络,100-499人,4-8K,1年以内,本科,['图像识别经验']
AI研发工程师,石家庄,喜高科技,20-99人,12-13K·15薪,1-3年,本科,"['图像识别经验', 'Python、Shell', 'SQL、NOSQL']"
AI数字人项目外包,石家庄,石家庄竹舟科技,20-99人,7-12K,经验不限,学历不限,"['C端产品', 'B端产品', 'AI机器人']"
数据标注/AI训练师,石家庄,晋州市润木摄影工作室,0-20人,3-8K,经验不限,学历不限,"['下肢残疾', '数据标注', '肢体残疾', '全职工作', '数据分析能力强', '标注结果抽查', '描点标注', '标注方法优化', '区域标注', '接受居家办公', '标框标注', '图片标注']"
智慧校园销售经理【可base河北多地】,石家庄,蓝鸽集团,1000-9999人,15-20K,1-3年,本科,['互联网/科技']
高薪招聘AI平面设计,石家庄,得卡,20-99人,5-8K,1-3年,学历不限,"['画册设计', '海报传单设计', '封面设计', 'PS', 'AI']"
Google/Facebook/TikTok平台优化师,石家庄,星炫,20-99人,4-8K,1-3年,大专,"['海外广告投放', 'Google', 'Facebook', 'TikTok']"
人工智能数据文员-4000+,石家庄,方颂科技,0-20人,3-6K,经验不限,学历不限,"['全职工作', '图片标注', '文本标注']"
ai绘画设计,石家庄,东漫抖商,0-20人,15-20元/时,1-3年,本科,"['兼职', '广告/设计公司', '电商设计类插画', 'AI', 'PS', '擅长手绘', '接受居家办公']"
高级ai工程师,石家庄,一点享法,20-99人,7-12K,1-3年,大专,['计算机相关专业']
AI智能高薪客服-底薪4000+五险  轻松无要求,石家庄,玟桦网络科技,100-499人,4-7K,经验不限,中专/中技,"['电话客服', '正常工作制', '办公室坐班', '全职工作', '企业内部客服', '不接受居家办公']"
AI训练师,石家庄,博睿思科技,20-99人,3-5K,经验不限,大专,"['数据采集', '自然语言处理', '视觉图像算法']"
兼职全职效果图及施工图绘图员,石家庄,壹点壹客设计,0-20人,11-12K,经验不限,学历不限,['室内装潢']
剪辑师  早十晚六  周末大小周,石家庄,一寸堂,20-99人,4-7K,1-3年,学历不限,"['短视频', 'Photoshop', '剪辑']"
机器人编程教师,石家庄,优必选机器人,1000-9999人,8-12K,1-3年,本科,"['大学/大专生', '饭补人才公寓免费住宿', '坐班', '成人', '熟练掌握计算机语言', '双休  五险一金', '线下教育', '普通话发音标准', '大班教学（25人以上）', '双休']"
AI插画师,石家庄,石家庄斐柏平面设计,0-20人,3-5K,1-3年,本科,"['全职', '广告/设计公司', '出版物插画', 'AI', 'SAI', '擅长手绘']"
人工智能算法专家,石家庄,兴国信息技术,0-20人,8-12K·13薪,3-5年,本科,"['Java', '机器学习', '深度学习', '人工智能', '机器学习算法/工程化经验', '计算机相关专业', '业务导向', '深度学习经验', '云计算']"
ai数据标注,石家庄,隐生宙,20-99人,3-6K,1年以内,高中,"['全职工作', '标注结果抽查', '数据标注', '标注数据分析', '图片标注', '视频标注', '语音标注', '区域标注', '描点标注', '标框标注']"
公司储备干部+数据运营岗+双休+无责4K,石家庄,博岳通信,10000人以上,4-8K,经验不限,本科,"['电商/零售项目', '员工福利', '应届生', '提供宿舍 食堂']"
研究员（博士）,石家庄,奋途商贸,20-99人,25-35K,经验不限,博士,['博士']
课程产品经理(工业互联网方向),石家庄,河北大技狮科技,20-99人,8-13K,3-5年,本科,"['线上教育', '成人/通用', '职业与技能培训', '教育专业背景', '有教育工作经验', '课程研发经验', '制造/建筑技术', 'IT培训', '工业互联网', '人工智能']"
数据标注师,石家庄,万联,20-99人,3-4K,经验不限,大专,"['标注质检', '人工智能', '运营总监']"
ai数据标注师,石家庄,河北胜图数科信息技术,0-20人,5-8K,经验不限,学历不限,"['全职工作', '标注方法优化', '标注结果整理', '数据标注', '文本标注', '图片标注', '区域标注', '描点标注', '标框标注', '接受加班', '数据分析能力强', '接受居家办公', '拉框，点云']"
资深人工智能老师,石家庄,高校邦,100-499人,15-18K,3-5年,本科,"['语音/图像识别', '智能驾驶', '机器学习算法/工程化经验', '深度学习经验', '人工智能', '机器视觉']"
FPGA工程师,石家庄,雄安威赛博智能科技,20-99人,9-13K·14薪,3-5年,本科,"['Verilog', 'VHDL', '工业视觉', '人工智能']"
AI大数据销售顾问,石家庄,飞象在线,0-20人,10-15K,5-10年,大专,"['客户拜访', '客户签约', '客户开发', '企业服务', '互联网/科技', '企业/机构（To B）', '网络营销经验', '对企业/机构（To B）销售经验', '电话销售经验', '网络营销能力', '沟通能力', '服务意识', '创业激情', '勤奋', '抗压能力强']"
数据标注专员,石家庄,迪加网络公司,20-99人,3-5K,经验不限,大专,"['全职工作', '标注结果整理', '数据标注', '标注数据分析', '图片标注', '文本标注', '描点标注', '分类标注', '标框标注', '不接受居家办公']"
数据标注/ai训练师,石家庄,正定竹瀚教育科技...,0-20人,3-4K,经验不限,大专,"['不限', '全职工作', '兼职工作', '标注方法优化', '标注结果整理', '数据标注', '图片标注', '区域标注', '描点标注', '标框标注', '接受加班', '数据分析能力强', '接受居家办公']"
机器人培训老师,石家庄,史塔克教育,20-99人,3-8K,经验不限,本科,"['销售经验', '集体授课', '机器人教育', '小班教学（3-25人）', '线下教育', '小学教育', '初中教育', '学前教育', '无人机教育', '教育学专业背景', '全职兼职均可', '坐班', '熟练掌握计算机语言', '理工科教育背景', '创客教育', '人工智能', '学前儿童/小学生']"
数据标注/AI训练师,石家庄,石家庄米孚信息技...,0-20人,4-8K·13薪,1-3年,大专,"['全职工作', '标注结果抽查', '标注结果整理', '数据标注', '语音标注', '分类标注', '区域标注', '数据分析能力强']"
AI数字人销售,石家庄,家魔方,20-99人,8-10K,1-3年,大专,"['电话销售', '个人（To C）', '面销/陌拜', '软件/企业服务产品', '不接受居家办公', '网络销售', '面销/陌拜经验', '人工智能', '软件销售', '互联网/科技', '渠道销售']"
大客户销售经理（公检法）,石家庄,海致BDP,500-999人,11-22K,1-3年,本科,"['公安', '公检法', '销售']"
ai数据标注师,石家庄,极智简单,20-99人,3-4K,1-3年,高中,"['标注结果整理', '视频标注', '数据分析能力强', '标注结果抽查', '接受居家办公', '图片标注', '兼职工作', '文本标注', '全职工作', '描点标注', '标注方法优化', '标框标注', '分类标注']"
年薪20万+，全石家庄只招3人，接受出差,石家庄,信也科技,1000-9999人,11-22K,1-3年,学历不限,"['互联网金融/消费金融', '信贷客户经理', '拥有信用/消费金融产品推广经验', '擅长客户开发', '拥有销售经验', '地推', '扫街陌生拜访', '贷款销售']"
平面设计ps AI,石家庄,正佳图文广告,0-20人,3-5K,经验不限,学历不限,"['AI软件', 'CorelDRAW', 'PhotoShop', '广告', '广告设计', '美工', '不支持远程办公']"
AI数据标注师,石家庄,河北胜图,100-499人,3-5K,1-3年,大专,"['全职工作', '数据标注', '图片标注', '文本标注', '语音标注', '标框标注', '接受加班', '数据挖掘', '数据更新']"
数据标注师,石家庄,石家庄嘉盟网络科技,0-20人,2-4K,经验不限,中专/中技,"['数据标注', '语音标注', '标注结果整理', '数据分析能力强', '区域标注', '接受居家办公', '图片标注', '兼职工作', '文本标注', '全职工作', '标注数据分析', '标框标注', '分类标注']"
居家数据标注（必须有教资）,石家庄,浩太同益,100-499人,6-7K,3-5年,大专,"['全职', '公立学校', '线下教育', '不坐班', '教师', '教师资格证', '初中', '小学', '高中']"
内容运营负责人,石家庄,联耀咨询,0-20人,3-8K,经验不限,本科,"['内容生产运营', '内容平台运营', '内容审核', '活动策划', '内容挖掘与分发', '纯文本', '图片/条漫', '视频', '公司宣传类', '新闻类', '广告类', '科技', '文字功底扎实', '10w+阅读作者', '营销推广能力', '接受居家办公']"
AI绘画师,石家庄,赵县爱婴摄影店,20-99人,3-7K,3-5年,本科,"['VI设计', '封面设计', '广告设计', '企业/自有品牌', 'DW', 'PS', 'AI', '不接受居家办公']"
美术设计师(UI+原画),石家庄,圣剑网络,100-499人,6-10K·13薪,3-5年,本科,"['交互设计', '视觉设计', '游戏端', 'UI', 'Spine']"
数据标注/AI训练师,石家庄,韵宇智能,0-20人,3-6K,经验不限,大专,"['数据标注', '不接受居家办公', '全职工作', '语音标注', '视频标注', '数据分析能力强', '描点标注', '标框标注', '接受加班', '图片标注']"
ai视觉算法工程师,石家庄,某大型移动互联网公司,500-999人,15-25K·14薪,3-5年,本科,"['OpenCV', '计算机相关专业', '图像识别经验']"
ai数据标注,石家庄,石家庄裕昇教育科技,20-99人,4-5K,经验不限,中专/中技,"['数据标注', '标注结果整理', '视频标注', '数据分析能力强', '标注结果抽查', '区域标注', '接受居家办公', '图片标注', '接受加班', '兼职工作', '文本标注', '描点标注', '标框标注']"
安全智能研究员,石家庄,天际友盟,100-499人,11-20K·13薪,3-5年,硕士,"['研究导向', '有国际期刊/会议论文发表', '威胁情报']"
虚拟仿真项目经理,石家庄,河北先润科技有限公司,20-99人,5-10K,1-3年,大专,['企业内部技术项目管理']
机器学习算法工程师,石家庄,森思泰克,500-999人,8-13K,经验不限,硕士,['机器学习']
投资分析及风险管控员,石家庄,石家庄天远科技集团,500-999人,4-6K,经验不限,本科,"['内部审计', '人工智能', '互联网']"
数据标注专员,石家庄,河北唐讯,100-499人,3-5K,经验不限,学历不限,"['数据标注', '文本标注', '不接受居家办公', '全职工作', '视频标注', '数据分析能力强', '标框标注', '图片标注']"
虚拟仿真软件开发,石家庄,启思教育,0-20人,5-10K,1-3年,大专,"['Unity3D', 'C/C++', '3ds Max']"
球鞋设计师,石家庄,太原燎原体育用品,0-20人,5-6K,1年以内,学历不限,"['设计初稿', 'PS', 'AI']"
联合创始人,石家庄,智慧国,10000人以上,21-23K·13薪,1-3年,硕士,"['人工智能', '创业型', '500人以上', '从0-1搭建团队', '有政府资源']"
AI数据标注员,石家庄,尚好科技,20-99人,3-4K,经验不限,大专,"['图片', '文字', '音频', '视频', '地图']"
双休朝九晚六-新媒体运营-底薪5,石家庄,志硅创加,100-499人,6-10K,经验不限,中专/中技,"['后期剪辑', 'PS/AI', '策划热点事件', '教育培训', '短视频运营', '矩阵营销', '新媒体运营', '直播运营']"
人工智能研究员,石家庄,北京雪龙科技有限公司,0-20人,15-20K,5-10年,硕士,"['业务导向/研究导向', '搜索/推荐', '语音/图像识别', '智能驾驶', 'Hadoop/Hive/Spark', 'TensorFlow/PyTorch', 'CNN/RNN/LSTM', '数学/统计相关专业', '机器学习算法/工程化经验', '深度学习经验']"
骨科关节AI产品销售经理,石家庄,长木谷医疗,100-499人,10-15K,3-5年,本科,"['植入介入器械', '医疗康复设备', '手术跟台', '招投标工作', '医院拜访']"
国企直招-211本科-百万年薪数据架构师,石家庄,某知名电力公司,1000-9999人,70-90K,10年以上,本科,"['数据架构', '信息化', '银行']"
理科教师,石家庄,晋州市智适应教育...,20-99人,3-7K,经验不限,本科,"['初中教育', '数学教师', '理综教师']"
AI算法,石家庄,河北长风,100-499人,8-13K,经验不限,硕士,"['语音/图像识别', 'OpenCV', 'Python']"
人工智能工程师,石家庄,创奕,20-99人,8-11K,3-5年,大专,"['深度学习算法', '机器学习算法', 'C++', 'Python', 'Java', 'Go', '人工智能', '大数据']"
图像算法工程师,石家庄,中检之星,20-99人,8-12K,3-5年,本科,"['视觉图像算法', '深度学习算法', '机器学习算法', 'C++', '人工智能', 'Python', '图像处理', '图像分析']"
河北各城市经理,石家庄,小盖茨机器人,100-499人,10-15K,1-3年,大专,"['制定区域营销计划', '客户/渠道开发及运营', '个人', '企业', '政府/社会团体', '教育培训', '互联网/科技', '较少出差和外勤', '开城经验', '销售经验', '教育/培训产品推广经验', '独立开拓市场能力']"
C4D设计师,石家庄,小马识途,20-99人,5-6K,1-3年,大专,['C4D']
服装设计助理,石家庄,峥徒匠新,20-99人,3-6K,经验不限,大专,"['男装', '服装生产过程管理', '运动服', 'PS', '服装', 'AI', '外套', '制定工艺文件', 'CorelDRAW', '打板与样衣制作']"
数据标注专员/培训师,石家庄,真度科技,20-99人,3-6K,经验不限,中专/中技,"['全职工作', '兼职工作', '数据标注', '图片标注', '视频标注', '语音标注', '描点标注', '标框标注', '数据分析能力强', '接受居家办公', '听力残疾', '肢体残疾', '轻度/中度听力残疾', '下肢残疾']"
数据标注,石家庄,政博电子,0-20人,3-4K,经验不限,学历不限,"['全职工作', '图片标注']"
机器人教师,石家庄,尚文科教,0-20人,4-6K,1年以内,大专,"['进行内部培训的企业', '线下教育', '外训', '特长兴趣', '人工智能', '教师培训经验', '教师资格证', '有教研经验', '机器人']"
少儿编程老师,石家庄,知行合一教育,20-99人,4-9K,经验不限,大专,['编程']
图案设计,石家庄,龙伊商贸有限公司,20-99人,4-5K,经验不限,大专,"['企业/自有品牌', 'AI', '不接受居家办公']"
国企直招-百万年薪-数据架构师,石家庄,某知名电力公司,1000-9999人,60-90K,10年以上,本科,"['大数据平台架构经验', '信息化', '银行']"
河北政府销售经理（石家庄） (MJ000901),石家庄,星环,1000-9999人,15-30K,5-10年,大专,"['政府/社会团体', '对企业/机构（To B）销售经验']"
急招!!!轻松不加班+短视频剪辑,石家庄,七彩雨虹防水工程,100-499人,5-8K,经验不限,大专,"['轻松不加班！！', '短视频剪辑']"
算法工程师（可兼职）,石家庄,云道软件科技,20-99人,9-14K,1-3年,大专,"['Python', 'C/C++', 'OpenCV', '深度学习经验', '语音/图像识别', 'Stable Diffusion框架', 'ffmpeg']"
编程老师,石家庄,石家庄爱汇百变教...,100-499人,8-13K,1-3年,本科,"['全职', '线下教育', '小班教学（3-25人）', '坐班']"
区域经理—河北区域,石家庄,青软集团,500-999人,10-15K,3-5年,本科,"['企业（To B）', '校企合作', '专业共建', '实验室建设']"
测绘工程师,石家庄,博宇科技,100-499人,4-9K,经验不限,本科,"['地理信息测量/测绘', '制图工程师']"
跨境电商独立站运营,石家庄,塑凯进出口贸易,20-99人,6-11K,1-3年,大专,"['不接受居家办公', '日常数据分析', '内容更新与维护', '引流/拉新/促活', '英语可作为工作语言', '数据分析能力', '电商']"
标注审核员,石家庄,石家庄汉升特科技,100-499人,3-4K·13薪,1-3年,大专,"['全职工作', '标注方法优化', '标注结果整理', '数据标注', '图片标注', '文本标注']"
少儿编程师训主管（带薪暑假+五险）,石家庄,阳光教育,1000-9999人,7-10K,1-3年,本科,"['师训', '课程研发', '教研', '授课']"
信息流广告优化师,石家庄,石家庄众淼网络信息,20-99人,3-8K,3-5年,本科,['广告优化师']
渠道经理【北部战区】,石家庄,探迹,1000-9999人,25-30K,经验不限,大专,"['代理商/经销商招募', '代理商体系搭建', '渠道/机构客户开发', '软件/SaaS', '企业服务', '较强的渠道拓展能力', '具有线下渠道销售经验', '具有渠道运营管理经验', 'SaaS渠道经理', '代理商招募+扶持']"
A-level 高中数理化教师,石家庄,石家庄新航道,100-499人,8-12K,1-3年,本科,"['全职', '培训机构', '线下教育', '教师', '一对一教学', '小班教学（3-25人）', '理科类专业背景', '初高中教育工作经验', '高中生', '物理', '生物', '化学']"
销售经理,石家庄,清鹤科技,100-499人,11-22K,经验不限,本科,"['企业（To B）', '互联网/科技']"
数据标注,石家庄,万物风吹,20-99人,3-5K,经验不限,中专/中技,"['全职工作', '数据标注', '图片标注', '视频标注', '语音标注', '区域标注', '描点标注', '标框标注']"
服装设计+运动装备+双休五险一金+高速发展,石家庄,田径精英,100-499人,4-9K,经验不限,本科,"['手绘', '设计师', '图案设计', '女装设计', '男装设计', 'PhotoShop', 'AI', '简约风格']"
AI算法工程师,石家庄,河北华网计算机技术,20-99人,15-20K,3-5年,本科,['Java']
排版设计,石家庄,优盛文化,100-499人,3-5K,经验不限,大专,"['书籍', '期刊']"
人工智能工程师,石家庄,河北梵钰科技有限公司,20-99人,12-15K·13薪,1-3年,本科,"['Python', '深度学习算法', '视觉图像算法', 'PyTorch', 'TensorFlow']"
企业微信运营,石家庄,彩讯股份,1000-9999人,6-9K,1-3年,本科,"['社群运营', '公众号/朋友圈运营', '微信10万+阅读', '社群运营经验']"
售前技术支撑,石家庄,普天设计,100-499人,10-15K,3-5年,本科,"['人工智能', '大数据', '物联网', 'IT服务', 'ICT', '智慧城市']"
审计助理,石家庄,河北天勤,100-499人,3-6K,经验不限,大专,"['外部审计', '英语可作为工作语言', '物流', '人工智能', '制造业', 'CPA', '中级会计师', '注册税务师']"
智慧城市研究员,石家庄,信通院,1000-9999人,6-9K,经验不限,硕士,"['咨询', '一般行业研究', '二者兼具']"
机器视觉算法工程师,石家庄,石家庄海纳电务科技,0-20人,10-15K,10年以上,本科,"['语音/图像识别', '智能驾驶', 'C/C++', 'Shell', 'Scala', '计算机相关专业', '机器学习算法/工程化经验', '深度学习经验']"
AI画图员,石家庄,河北汇瑞中,20-99人,3-5K,经验不限,大专,"['PhotoShop', 'Illustrator']"
渠道销售-河北,石家庄,深圳云天励飞,500-999人,15-20K,5-10年,本科,"['渠道关系维护', '代理商/经销商招募', '代理商体系搭建', '企业服务', '硬件/网络设备', '具有渠道运营管理经验', '具有硬件/通信从业经验', '人工智能', '安防', '政府']"
印刷排版,石家庄,裕华区不凡文印中心,0-20人,3-5K,1-3年,高中,"['全职', '期刊封面', '文字排版设计', '版面设计', 'InDesign', '飞腾软件', '教辅图书排版经验', '熟悉印前工艺', '熟悉印刷流程']"
活动策划兼职（汽车行业）,石家庄,房典,0-20人,1-6K,经验不限,学历不限,"['汽车4S店', '品牌策略制定经验']"
包装设计,石家庄,坤瑞,0-20人,3-6K,经验不限,学历不限,"['广告/设计公司', '包装材料开发', '外包装箱设计', '医药保健品', '电子产品', '美妆日化', 'AI', 'PS', '熟悉印刷工艺', '沟通能力强', '熟悉各类包装材料', '不接受居家办公']"
广告设计,石家庄,森鑫广告,0-20人,2-4K,经验不限,学历不限,"['广告/设计公司', '封面设计', '画册设计', '广告设计']"
实习生,石家庄,至宸设计,20-99人,1-4K,1年以内,本科,"['学习能力', '综合素质']"
人工智能算法工程师,石家庄,神玥软件,1000-9999人,8-13K,经验不限,本科,"['OCR', 'tensorflow', 'pytorch']"
销售（真实双休）,石家庄,雷课教育,20-99人,6-10K,1-3年,学历不限,['电话销售']
平面设计排版,石家庄,优润广告有限公司,0-20人,2-5K,1年以内,大专,"['全职', '坐班', '熟悉电脑Ai ID软件']"
抖音推广专员,石家庄,谨泽国际,0-20人,1-2K,经验不限,学历不限,"['销售经验', '非广告投放类', '抖音直播推广', '销售运营经验', '网络推广', '网络营销策划及执行', '电子商务']"
医学影像算法工程师,石家庄,瑞石心禾,0-20人,16-20K·14薪,1年以内,硕士,"['生物医疗', 'C/C++', 'MATLAB', 'Python']"
教学主管,石家庄,松鼠教育科技,1000-9999人,8-12K,3-5年,本科,"['课程设计', '教师培训', '数学', '外语', '奥数', '英语', '语文']"
广告设计,石家庄,裕华鸿通广告服务部,0-20人,2-4K,经验不限,大专,"['广告制作', '广告设计', '公关媒介代理商/服务商', 'AI', 'CorelDraw', 'PS', '不接受居家办公']"
电商美工设计建模,石家庄,裕华甜甜妈童装店,0-20人,5-6K,经验不限,学历不限,['家用电器']
销售总监（河北省）,石家庄,卡易智慧医疗,100-499人,10-15K,经验不限,大专,"['PACS', '云影像', '信息化']"
新媒体运营编辑,石家庄,路边社传媒,0-20人,4-6K·13薪,3-5年,大专,"['新媒体运营', '内容运营', '撰稿', 'KOL', '图文编辑', '文案撰写', '软文推广', '舆情监测']"
解决方案助理-云售前,石家庄,某500强上市公司,10000人以上,15-25K·13薪,5-10年,本科,"['云服务', '其他类型SaaS/PaaS', '售前技术支持经验', '招投标经验', 'HCIE']"
招聘兼职业务、合作伙伴,石家庄,胜昊,20-99人,3-8K,经验不限,学历不限,"['人工智能', '售后支持', '售前支持', 'IT服务', '计算机软件', '服务器配置', '网络交换技术', '机器人']"
